resp_id,aes_canton,aes_langreg,t0sex,t0fmedu_comp,t0immig,t1bqvalids,t2bqvalids,t3bqvalids,t1wt,t2wt,t3wt,t0hisei08_3q,t0wlem_3q,t0st_nprog_req3,t1educ_class_1_r,t2educ_class_1_r,t3educ_class_1_r
1011466,10,1,1,1,2,1,1,1,4.968220591271589,5.867710233955704,4.035662921039192,2,2,1,6,6,6
1011467,22,2,1,2,2,1,1,1,23.94003985972217,20.31648600390544,25.08510879234697,2,1,2,9,9,9
1011469,26,2,1,2,1,1,1,1,3.051387411165976,2.497884639661671,2.847655065531093,1,,1,8,8,8
1011475,9,1,1,2,3,1,1,1,2.625444432360224,2.58382595811345,2.624843039417083,3,3,1,8,8,8
1011481,21,3,1,1,1,1,1,1,5.016686812082474,4.618606259457571,4.967990342134724,2,3,1,8,8,8
1011484,25,2,1,1,2,1,1,1,17.86076266387677,11.79104160988065,16.47656322264728,1,1,2,9,9,9
1011492,2,2,1,2,2,1,0,0,.0166405866565778,,,3,1,2,9,,
1011493,1,1,1,1,1,1,1,1,7.462433383106126,5.704194990478313,5.647131510145535,1,,3,2,6,6
1011495,15,1,1,1,1,1,1,1,.9540345523122057,.7762444155023274,.8285722458572877,1,1,3,1,1,6
1011496,2,1,1,1,1,1,1,1,11.31077577206085,12.18352732645102,11.81306743425755,3,2,2,6,6,6
1011499,10,2,1,1,1,1,1,.e,4.180852244781393,5.271259253282393,,2,1,3,1,1,
1011500,1,1,2,2,3,1,1,1,10.33530431136629,9.547433893170242,10.23583030714607,2,3,2,7,7,7
1011502,1,1,2,1,1,1,1,1,68.43601443295969,78.75357637905225,73.76527931291976,2,1,3,6,6,6
1011505,16,1,1,1,1,1,1,1,29.81926809198372,30.35707421600389,30.31209899098344,2,2,2,6,6,6
1011507,8,1,1,1,1,1,1,1,.1044881418879475,.160003292255203,.9234547659742338,2,1,2,3,9,9
1011508,1,1,1,1,1,1,1,1,21.35012034272506,23.40201400171171,23.64107220685145,2,2,2,3,6,6
1011509,1,1,2,1,1,1,1,0,15.83058194868268,19.17927441787014,,,1,3,2,1,
1011511,20,1,1,2,1,1,1,1,9.35399608780761,8.449426390464245,9.608562492629797,1,3,2,9,9,9
